Exception_ID,Rule_ID,Record_ID,Severity,Description,Owner,Status
EX-00001,DQ-01,APL-2026-000371,High,Duplicate Appeal_ID in extract; kept first occurrence,Reporting Analyst,Open
EX-00002,DQ-01,APL-2026-003598,High,Duplicate Appeal_ID in extract; kept first occurrence,Reporting Analyst,Open
EX-00003,DQ-01,APL-2026-001691,High,Duplicate Appeal_ID in extract; kept first occurrence,Reporting Analyst,Open
EX-00004,DQ-01,APL-2026-000934,High,Duplicate Appeal_ID in extract; kept first occurrence,Reporting Analyst,Open
EX-00005,DQ-01,APL-2026-001931,High,Duplicate Appeal_ID in extract; kept first occurrence,Reporting Analyst,Open
EX-00006,DQ-01,APL-2026-000597,High,Duplicate Appeal_ID in extract; kept first occurrence,Reporting Analyst,Open
EX-00007,DQ-01,APL-2026-003497,High,Duplicate Appeal_ID in extract; kept first occurrence,Reporting Analyst,Open
EX-00008,DQ-01,APL-2026-002755,High,Duplicate Appeal_ID in extract; kept first occurrence,Reporting Analyst,Open
EX-00009,DQ-01,APL-2026-002484,High,Duplicate Appeal_ID in extract; kept first occurrence,Reporting Analyst,Open
EX-00010,DQ-01,APL-2026-003682,High,Duplicate Appeal_ID in extract; kept first occurrence,Reporting Analyst,Open
EX-00011,DQ-01,APL-2026-002590,High,Duplicate Appeal_ID in extract; kept first occurrence,Reporting Analyst,Open
EX-00012,DQ-01,APL-2026-003396,High,Duplicate Appeal_ID in extract; kept first occurrence,Reporting Analyst,Open
EX-00013,DQ-01,APL-2026-000379,High,Duplicate Appeal_ID in extract; kept first occurrence,Reporting Analyst,Open
EX-00014,DQ-01,APL-2026-002061,High,Duplicate Appeal_ID in extract; kept first occurrence,Reporting Analyst,Open
EX-00015,DQ-01,APL-2026-002916,High,Duplicate Appeal_ID in extract; kept first occurrence,Reporting Analyst,Open
EX-00016,DQ-01,APL-2026-000306,High,Duplicate Appeal_ID in extract; kept first occurrence,Reporting Analyst,Open
EX-00017,DQ-01,APL-2026-000644,High,Duplicate Appeal_ID in extract; kept first occurrence,Reporting Analyst,Open
EX-00018,DQ-01,APL-2026-002899,High,Duplicate Appeal_ID in extract; kept first occurrence,Reporting Analyst,Open
EX-00019,DQ-02,APL-2026-001350,Critical,Status is Closed but Outcome is blank,Reporting Analyst,Open
