Event_ID,Appeal_ID,Event_Timestamp,Process_Stage,Event_Type,Team_ID,User_Role,Delay_Reason,Event_Sequence
EVT-0000001,APL-2026-000001,2026-07-21 11:38:00,Intake,Appeal Received,TM-01,Intake Specialist,,1
EVT-0000002,APL-2026-000001,2026-07-21 08:52:00,Intake,Intake Logged,TM-01,Intake Specialist,,2
EVT-0000003,APL-2026-000001,2026-07-21 17:00:00,Validation,Validation Completed,TM-01,Intake Specialist,,3
EVT-0000004,APL-2026-000001,2026-07-21 08:38:00,Classification,Type Assigned,TM-01,Intake Supervisor,,4
EVT-0000005,APL-2026-000001,2026-07-23 15:45:00,Routing,Routed to Team,TM-01,Intake Supervisor,,5
EVT-0000006,APL-2026-000001,2026-07-24 08:07:00,Review,Review Started,TM-01,Reviewer,,6
EVT-0000007,APL-2026-000001,2026-07-28 10:00:00,Decision,Decision: Upheld,TM-01,Reviewer,,7
EVT-0000008,APL-2026-000001,2026-07-30 13:00:00,Closure,Case Closed,TM-01,Reporting Analyst,,8
EVT-0000009,APL-2026-000002,2026-07-15 13:45:00,Intake,Appeal Received,TM-02,Intake Specialist,,1
EVT-0000010,APL-2026-000002,2026-07-15 09:07:00,Intake,Intake Logged,TM-02,Intake Specialist,,2
EVT-0000011,APL-2026-000002,2026-07-15 17:45:00,Validation,Validation Completed,TM-02,Intake Specialist,,3
EVT-0000012,APL-2026-000002,2026-07-15 08:15:00,Classification,Type Assigned,TM-02,Intake Supervisor,,4
EVT-0000013,APL-2026-000002,2026-07-20 09:00:00,Routing,Routed to Team,TM-02,Intake Supervisor,,5
EVT-0000014,APL-2026-000002,2026-07-20 10:52:00,Routing,Routing Error Identified,TM-02,Intake Supervisor,RC-04,6
EVT-0000015,APL-2026-000002,2026-07-21 15:22:00,Routing,Case Reassigned,TM-07,Intake Supervisor,RC-04,7
EVT-0000016,APL-2026-000002,2026-07-22 10:30:00,Review,Review Started,TM-07,Reviewer,,8
EVT-0000017,APL-2026-000002,2026-07-28 15:45:00,Decision,Decision: Overturned,TM-07,Reviewer,,9
EVT-0000018,APL-2026-000002,2026-07-29 10:38:00,Closure,Case Closed,TM-07,Reporting Analyst,,10
EVT-0000019,APL-2026-000003,2026-04-15 17:07:00,Intake,Appeal Received,TM-01,Intake Specialist,,1
EVT-0000020,APL-2026-000003,2026-04-15 08:22:00,Intake,Intake Logged,TM-01,Intake Specialist,,2
EVT-0000021,APL-2026-000003,2026-04-15 14:00:00,Validation,Validation Completed,TM-01,Intake Specialist,,3
EVT-0000022,APL-2026-000003,2026-04-15 15:52:00,Classification,Type Assigned,TM-01,Intake Supervisor,,4
EVT-0000023,APL-2026-000003,2026-04-15 12:30:00,Routing,Routed to Team,TM-01,Intake Supervisor,,5
EVT-0000024,APL-2026-000003,2026-04-16 10:22:00,Review,Review Started,TM-01,Reviewer,,6
EVT-0000025,APL-2026-000003,2026-04-20 09:07:00,Decision,Decision: Upheld,TM-01,Reviewer,,7
EVT-0000026,APL-2026-000003,2026-04-20 10:00:00,Closure,Case Closed,TM-01,Reporting Analyst,,8
EVT-0000027,APL-2026-000004,2026-05-05 12:45:00,Intake,Appeal Received,TM-01,Intake Specialist,,1
EVT-0000028,APL-2026-000004,2026-05-06 13:45:00,Intake,Intake Logged,TM-01,Intake Specialist,,2
EVT-0000029,APL-2026-000004,2026-05-06 11:38:00,Validation,Validation Failed,TM-01,Intake Specialist,RC-02,3
EVT-0000030,APL-2026-000004,2026-05-06 11:07:00,Classification,Type Assigned,TM-01,Intake Supervisor,,4
EVT-0000031,APL-2026-000004,2026-05-08 14:00:00,Routing,Routed to Team,TM-01,Intake Supervisor,,5
EVT-0000032,APL-2026-000004,2026-05-08 13:45:00,Review,Review Started,TM-01,Reviewer,,6
EVT-0000033,APL-2026-000004,2026-05-11 15:38:00,Information Request,Information Requested,TM-01,Reviewer,RC-05,7
EVT-0000034,APL-2026-000004,2026-05-26 16:45:00,Information Request,Information Received,TM-01,Reviewer,RC-05,8
EVT-0000035,APL-2026-000004,2026-06-02 15:45:00,Decision,Decision: Upheld,TM-01,Reviewer,,9
EVT-0000036,APL-2026-000004,2026-06-09 16:00:00,Closure,Case Closed,TM-01,Reporting Analyst,,10
EVT-0000037,APL-2026-000005,2026-07-14 15:52:00,Intake,Appeal Received,TM-07,Intake Specialist,,1
EVT-0000038,APL-2026-000005,2026-07-14 17:30:00,Intake,Intake Logged,TM-07,Intake Specialist,,2
EVT-0000039,APL-2026-000005,2026-07-14 09:15:00,Validation,Validation Completed,TM-07,Intake Specialist,,3
EVT-0000040,APL-2026-000005,2026-07-14 16:38:00,Classification,Type Assigned,TM-07,Intake Supervisor,,4
EVT-0000041,APL-2026-000005,2026-07-16 17:30:00,Routing,Routed to Team,TM-07,Intake Supervisor,,5
EVT-0000042,APL-2026-000005,2026-07-17 10:45:00,Review,Review Started,TM-07,Reviewer,,6
EVT-0000043,APL-2026-000005,2026-07-21 15:07:00,Decision,Decision: Overturned,TM-07,Reviewer,,7
EVT-0000044,APL-2026-000005,2026-07-21 08:07:00,Closure,Case Closed,TM-07,Reporting Analyst,,8
EVT-0000045,APL-2026-000006,2026-04-29 14:22:00,Intake,Appeal Received,TM-04,Intake Specialist,,1
EVT-0000046,APL-2026-000006,2026-04-29 08:30:00,Intake,Intake Logged,TM-04,Intake Specialist,,2
EVT-0000047,APL-2026-000006,2026-04-29 15:45:00,Validation,Validation Completed,TM-04,Intake Specialist,,3
EVT-0000048,APL-2026-000006,2026-04-29 08:30:00,Classification,Type Assigned,TM-04,Intake Supervisor,,4
EVT-0000049,APL-2026-000006,2026-05-05 12:45:00,Routing,Routed to Team,TM-04,Intake Supervisor,,5
EVT-0000050,APL-2026-000006,2026-05-06 13:00:00,Review,Review Started,TM-04,Reviewer,,6
EVT-0000051,APL-2026-000006,2026-05-08 17:30:00,Review,Rework Started,TM-04,Reviewer,RC-01,7
EVT-0000052,APL-2026-000006,2026-05-18 17:52:00,Decision,Decision: Upheld,TM-04,Reviewer,,8
EVT-0000053,APL-2026-000006,2026-05-19 16:22:00,Closure,Case Closed,TM-04,Reporting Analyst,,9
EVT-0000054,APL-2026-000007,2026-01-14 15:22:00,Intake,Appeal Received,TM-04,Intake Specialist,,1
EVT-0000055,APL-2026-000007,2026-01-14 09:45:00,Intake,Intake Logged,TM-04,Intake Specialist,,2
EVT-0000056,APL-2026-000007,2026-01-14 14:22:00,Validation,Validation Completed,TM-04,Intake Specialist,,3
